"src","doi","yr","pmcid"
"PMC","10.1371/journal.pone.0082618",2013,"PMC3871163"
"PMC","10.3389/fnins.2013.00267",2013,"PMC3872725"
"PMC","10.3389/fninf.2013.00035",2013,"PMC3872740"
"PMC","10.1371/journal.pgen.1004067",2013,"PMC3873250"
"PMC","10.3389/fnsys.2013.00124",2013,"PMC3874542"
"PMC","10.1186/1476-072X-12-58",2013,"PMC3874648"
"PMC","10.1186/1756-3305-6-300",2013,"PMC3874762"
"PMC","10.1371/journal.pone.0083533",2013,"PMC3877058"
"PMC","10.1371/journal.pone.0084123",2013,"PMC3877219"
"PMC","10.1371/journal.pcbi.1003399",2014,"PMC3879106"
"PMC","10.1186/1471-2105-14-369",2013,"PMC3879196"
"PMC","10.1007/s10822-013-9698-7",2013,"PMC3880490"
"PMC","10.3389/fninf.2013.00048",2013,"PMC3880998"
"PMC","10.1371/journal.pone.0083675",2014,"PMC3882208"
"PMC","10.1371/journal.pbio.1001744",2014,"PMC3883637"
"PMC","10.1371/journal.pgen.1004078",2014,"PMC3886924"
"PMC","10.1534/g3.113.008326",2014,"PMC3887528"
"PMC","10.1534/g3.113.008870",2014,"PMC3887532"
"PMC","10.1186/1471-2105-14-360",2013,"PMC3890500"
"PMC","10.1186/1471-2164-14-923",2013,"PMC3890508"
"PMC","10.1186/1471-2156-15-4",2014,"PMC3890517"
"PMC","10.1186/1471-2229-14-3",2014,"PMC3890615"
"PMC","10.1186/1752-0509-7-135",2013,"PMC3892043"
"PMC","10.1093/bioinformatics/btt666",2013,"PMC3892694"
"PMC","10.1371/journal.pone.0084860",2014,"PMC3893165"
"PMC","10.1186/1471-2164-15-17",2014,"PMC3893438"
"PMC","10.1371/journal.pone.0085925",2014,"PMC3897575"
"PMC","10.1371/journal.pone.0086602",2014,"PMC3897743"
"PMC","10.1186/1471-2105-15-19",2014,"PMC3898260"
"PMC","10.1016/j.neuroimage.2013.10.012",2014,"PMC3898966"
"PMC","10.1371/journal.pone.0085585",2014,"PMC3899046"
"PMC","10.1371/journal.pone.0086869",2014,"PMC3899341"
